,City,Coordinates,Temperature (F),Humidity (%),Cloud (%),Wind Speed (mph)
73,Norðoyar sýsla,"(63.16, -6.05)",46.99,89,92,36.26
74,Velingara,"(12.85, -14.11)",71.37,61,80,3.04
75,Kodinar,"(19.87, 70.22)",76.6,100,0,11.65
76,Sancti Spíritu,"(-34.12, -62.28)",59.41,82,92,20.49
77,Ar Rutbah,"(32.56, 40.85)",49.82,54,32,5.17
78,Wilaya de l'Inchiri,"(19.82, -15.93)",56.7,47,0,7.74
79,Casa Nova,"(-9.24, -40.97)",77.0,65,0,11.41
80,Tahdziú,"(20.24, -88.95)",61.02,94,0,2.93
81,Khabarovskiy Kray,"(56.15, 134.39)",-14.53,59,32,4.61
82,Salgado Filho,"(-26.26, -53.28)",73.49,78,8,10.76
83,Changyon,"(37.59, 123.93)",41.58,100,56,18.03
84,Morton,"(33.75, -102.75)",36.36,74,0,8.63
85,Cook Islands,"(-22.21, -159.64)",76.86,100,92,21.5
86,Kortkeros,"(62.11, 51.96)",2.44,67,88,4.05
87,Província do Moxico,"(-13.28, 21.92)",75.51,97,68,12.55
88,Elorza,"(6.51, -69.65)",77.27,65,44,10.09
89,Région de Kidal,"(19.53, 0.82)",57.02,31,0,4.5
90,Giyani,"(-23.12, 30.77)",91.04,54,0,4.38
91,Minţaqat al Qaşīm,"(27.2, 43.4)",58.01,29,64,8.52
92,Ariquemes,"(-9.48, -62.38)",70.93,98,92,2.93
93,Raha Tiga,"(-4.44, 123.18)",83.8,86,56,2.04
94,Arctic Bay,"(72.64, -88.8)",-37.17,0,12,3.38
95,Lavrentiya,"(65.08, -170.16)",-2.16,73,0,24.18
96,Embarcacion,"(-23.49, -63.76)",77.54,87,92,4.16
97,Ciudad Camargo,"(27.46, -104.65)",48.15,75,44,2.71
98,Vonda,"(66.91, 52.24)",-6.3,59,0,5.5
99,Were Ilu,"(10.33, 38.98)",75.69,21,0,2.04
100,Somerset,"(40.01, -79.07)",20.61,78,90,12.75
101,Tarimoro,"(20.26, -100.72)",44.46,79,0,5.95
102,Ust-Kuyga,"(70.21, 134.66)",-43.74,0,20,3.6
103,Treherne,"(49.76, -98.78)",2.7,84,80,9.64
104,Karewa,"(-42.81, -175.24)",65.25,94,92,24.63
105,Gudari,"(19.43, 83.9)",82.26,26,0,3.04
106,Emajagua,"(17.43, -65.68)",77.68,100,68,13.56
107,Nema,"(16.47, -6.0)",63.64,26,0,6.62
108,Madifushi,"(2.16, 74.6)",81.55,100,56,11.43
109,Footner Lake,"(58.73, -119.7)",-8.19,62,88,5.39
110,Leninskoye,"(47.68, 132.63)",11.21,58,0,14.23
111,Wendisch Kirchhof,"(52.8, 12.22)",29.7,95,12,7.96
112,Zyryanka,"(65.69, 148.91)",-25.02,34,24,2.04
113,Imuris,"(30.66, -110.74)",48.11,90,32,2.48
114,Point Lay,"(70.2, -163.9)",-36.05,85,1,4.7
115,Chatham,"(41.54, -68.42)",39.42,100,64,25.86
116,Cherskiy,"(68.05, 161.37)",-23.04,34,0,2.93
117,Cannon Beach,"(45.86, -125.2)",52.16,93,92,22.17
118,Drumlemble,"(55.52, -5.88)",47.26,93,75,11.41
119,Nordingra,"(62.53, 19.56)",34.56,100,48,21.72
120,Wiluna,"(-25.93, 120.0)",104.14,8,0,14.0
121,Truth or Consequences,"(33.62, -107.89)",25.3,84,20,2.93
122,Província do Cuando Cubango,"(-15.27, 20.27)",77.5,77,88,6.06
123,Rothesay,"(45.22, -65.71)",31.1,100,75,11.41
124,Fedje,"(60.82, 3.85)",48.2,93,92,26.4
125,Sembe,"(1.87, 14.39)",82.22,78,0,3.04
126,Grandes-Piles,"(46.89, -73.22)",23.81,78,80,9.19
127,Mananara Avaratra,"(-16.0, 50.07)",80.19,96,92,2.93
128,Port Mathurin,"(-18.76, 63.22)",81.55,100,80,19.6
129,Nele,"(-11.37, 166.12)",82.94,100,88,6.96
130,Kharp,"(66.24, 65.19)",-17.37,25,32,13.56
131,Ad Dakhla,"(23.81, -16.37)",53.6,54,0,9.17
132,Sangar,"(64.64, 125.87)",-45.09,0,20,4.5
133,South Georgia and the South Sandwich Islands,"(-55.46, -31.55)",37.04,92,88,13.56
134,Eauripik Municipality,"(6.2, 141.89)",81.0,100,80,16.13
135,Bordj Mokhtar,"(20.83, 0.52)",55.9,32,0,3.38
136,Ittorisseq,"(70.26, -25.33)",-4.32,59,0,13.56
137,Nasanggalau,"(-19.22, -178.86)",82.54,98,24,10.09
138,Durham,"(44.17, -80.76)",17.91,79,90,13.87
139,Lhokseumawe,"(4.97, 97.29)",75.92,86,88,1.92
140,Bianzhuang,"(34.84, 117.84)",37.76,69,0,2.93
141,Obnova,"(43.45, 24.97)",32.85,92,90,5.61
142,Divnogorsk,"(55.59, 92.29)",19.4,73,40,11.18
143,Kodino,"(64.08, 39.57)",18.32,85,88,3.38
144,Pocpo,"(-18.85, -65.47)",55.35,100,88,2.48
145,Sidi Ifni,"(30.18, -10.8)",62.1,100,0,9.75
146,Mangai,"(-3.32, 20.27)",79.79,85,36,3.04
147,Bimini District,"(25.37, -79.22)",73.35,100,0,16.02
148,Andersen AFB Housing Areas,"(13.28, 145.59)",81.59,99,8,25.3
149,Minami,"(25.73, 140.7)",67.32,100,0,6.62
150,Senges,"(-24.28, -49.51)",66.79,95,64,3.04
151,Heipang,"(9.51, 8.91)",76.41,22,0,4.05
152,Ghadamis,"(30.65, 9.55)",46.67,64,0,4.94
153,Kangiqsualujjuaq,"(57.76, -66.44)",5.36,74,76,4.16
154,Watson,"(30.62, -90.95)",37.45,89,1,5.95
155,Suksukan,"(64.11, 152.19)",-25.83,38,64,2.93
156,Wrightwood,"(34.31, -117.83)",49.87,100,1,0.58
157,Ólafsvík,"(65.19, -26.71)",31.32,100,20,20.83
158,Fare,"(-16.13, -150.64)",84.47,99,80,13.56
159,Burwash Landing,"(61.31, -138.58)",-36.41,65,1,2.24
160,Curtina,"(-32.5, -56.25)",65.97,100,92,7.4
161,Myskhako,"(44.53, 37.66)",44.6,75,75,17.9
162,Chapman,"(38.98, -97.1)",26.94,66,1,4.7
163,Yantai,"(38.05, 121.51)",38.25,100,0,17.47
164,Kodiak,"(58.12, -151.01)",35.46,100,0,27.09
165,Behjatābād,"(37.52, 51.87)",51.62,100,0,23.73
166,Région du Bafing,"(8.77, -7.9)",76.91,35,0,4.5
167,Funafuti,"(-9.6, 178.54)",84.6,100,68,10.42
168,Tual,"(-4.49, 132.5)",81.36,100,48,9.53
169,Departamento de Pando,"(-12.04, -68.16)",74.89,88,48,4.38
170,Fort McPherson,"(67.36, -136.56)",-25.78,37,56,6.4
171,State of South Australia,"(-29.71, 134.51)",96.12,15,0,7.52
172,Dunhuang,"(40.92, 94.93)",26.42,51,20,4.38
173,Kəlbəcər Rayonu,"(40.26, 46.25)",46.4,36,20,4.7
174,Schutschur,"(53.22, 10.93)",31.91,80,75,2.24
175,Lib,"(8.4, 167.38)",80.24,91,75,18.34
176,Pamanukan,"(-5.31, 108.02)",83.57,100,64,9.64
177,Airbuaya,"(-2.87, 126.27)",81.91,100,44,5.61
178,Talakan,"(50.99, 130.86)",-14.89,63,12,2.37
179,Región de Magallanes y de la Antártica Chilena,"(-52.14, -74.63)",47.8,95,92,35.37
180,Kŏmusil,"(37.0, 128.56)",24.8,58,1,17.22
181,Mikomeseng,"(2.16, 10.69)",79.2,91,20,0.47
182,Spikarna,"(62.24, 18.23)",19.4,92,0,2.24
183,Kolwezi,"(-10.52, 25.3)",67.5,100,80,5.39
184,Ginir,"(6.35, 41.26)",87.71,19,0,6.06
185,Pajapan,"(19.17, -94.52)",73.67,100,68,16.58
186,Stugudalen,"(62.75, 12.03)",26.6,100,75,5.82
187,Arskiy Rayon,"(56.26, 49.44)",13.46,87,64,8.52
188,Mineiros,"(-18.4, -53.19)",67.41,87,48,3.94
189,Beypore,"(10.92, 75.42)",87.8,43,0,5.82
190,Saskylakh,"(71.95, 115.95)",-48.69,0,0,5.17
191,Troitsko-Pechorsk,"(63.15, 56.62)",-19.35,84,12,2.93
192,Mokil,"(7.5, 160.34)",81.27,100,92,23.06
193,Otepa,"(-17.85, -139.64)",78.71,100,68,17.47
194,Resolute,"(75.6, -98.54)",-24.66,37,12,10.54
195,Lorino,"(66.35, -173.79)",-23.44,35,0,1.92
196,Hemse,"(57.14, 19.07)",35.06,100,88,13.22
197,Santa Maria Velha,"(-9.37, -49.83)",68.99,93,12,3.49
198,Arusha Region,"(-2.4, 35.65)",78.4,44,32,11.99
199,Surt,"(31.66, 17.8)",61.11,100,0,19.04
200,Région du Moyen-Cavally,"(6.13, -7.54)",79.07,77,20,3.6
201,Jaque,"(7.05, -79.02)",78.26,98,8,19.26
202,Rafḩā,"(29.13, 43.85)",66.2,25,0,3.36
203,Malin,"(26.41, 110.55)",39.87,100,88,2.48
204,Koeneuergench,"(41.91, 58.3)",36.77,88,68,9.98
205,Hambantota,"(5.57, 81.62)",79.47,100,48,18.03
206,Garafia,"(29.73, -18.18)",63.27,100,92,7.52
207,Sandaun Province,"(-3.43, 141.82)",78.31,85,56,0.36
208,Coral Harbour,"(63.56, -84.33)",-32.0,56,48,3.49
209,Novokopylovo,"(53.65, 84.53)",10.67,78,88,11.21
210,Tanjungbalai,"(2.56, 99.97)",84.6,82,24,3.15
211,Clear Creek,"(64.92, -137.02)",-37.67,0,8,2.15
212,Fukaura,"(41.03, 139.62)",42.31,100,80,26.64
213,Severo-Yeniseyskiy,"(59.91, 94.27)",3.47,51,48,8.75
214,Kangxiwar,"(34.94, 79.33)",-0.18,78,0,12.21
215,Qaarsut,"(70.47, -55.66)",-1.67,83,0,7.74
216,Yrghyz,"(47.81, 60.93)",10.26,95,0,6.73
217,Fort Hope,"(52.83, -87.53)",-11.57,76,24,12.44
218,La Toma,"(-33.34, -65.77)",57.29,51,80,16.02
219,Akana,"(64.24, 119.66)",-23.67,34,56,3.15
220,Rajshahi,"(24.33, 88.72)",73.54,66,0,4.72
221,Khanty-Mansiysk,"(61.31, 67.99)",-20.21,75,0,4.47
222,Yukon-Koyukuk Census Area,"(66.05, -154.53)",-26.87,67,1,2.71
223,Cherryville,"(50.54, -118.6)",24.8,92,90,1.59
224,Jalīb Shihāb,"(30.52, 45.87)",58.46,43,64,8.08
225,Big Pine,"(37.05, -118.56)",23.54,100,90,1.14
226,Yelkino,"(58.75, 59.84)",10.08,67,76,0.47
227,Ankang,"(33.19, 108.64)",33.62,73,80,2.04
228,Basoko,"(0.34, 23.32)",84.16,82,0,3.94
229,Strezhevoy,"(60.44, 77.63)",-14.72,67,20,8.75
230,Tamanrasset,"(21.85, 4.8)",58.37,35,0,4.38
231,Biltine,"(14.22, 21.48)",76.37,26,0,10.42
232,Luuq,"(4.31, 42.4)",89.91,38,0,9.53
233,Raichur,"(16.14, 77.51)",85.69,40,0,4.5
234,Onagawa Cho,"(37.96, 142.55)",49.95,100,76,18.48
235,Whittlesea,"(-32.3, 26.88)",72.91,57,12,5.61
236,Alvaraes,"(-2.64, -64.01)",72.14,98,92,4.61
237,"Providencia y Santa Catalina, Departamento de Archipiélago de San Andrés","(12.07, -81.44)",77.0,83,40,4.7
238,Dundas,"(76.77, -69.83)",-13.01,63,1,11.41
239,Arasan,"(45.71, 79.33)",31.5,100,92,4.16
240,Lukulu,"(-14.33, 23.17)",78.04,79,80,11.21
241,Parent,"(47.97, -74.51)",21.29,78,88,12.44
242,Jebrail,"(39.37, 47.12)",44.96,88,0,4.05
243,Troškūnai,"(55.58, 24.75)",10.04,75,64,4.61
244,Ruvuma Region,"(-11.12, 36.44)",82.26,89,36,3.6
245,Ulus,"(41.44, 32.64)",48.2,45,75,4.7
246,Marolambo,"(-20.42, 48.06)",80.46,77,64,2.48
247,Koshurnikovo,"(53.77, 93.73)",21.92,77,88,4.16
248,Xiachuan,"(20.54, 112.47)",72.32,100,88,17.13
249,Velikooktyabrskiy,"(57.53, 33.88)",11.61,88,80,4.61
250,Novoye Leushino,"(56.82, 40.35)",15.66,90,76,6.4
251,Māmā’ī,"(37.06, 54.27)",46.4,93,90,6.93
252,Formosa,"(-26.13, -57.72)",77.0,94,0,5.82
253,Namalenga,"(-11.0, 39.09)",84.25,86,20,8.08
254,Umm Ruwaba,"(13.67, 31.29)",77.85,39,0,10.54
255,Khaty,"(64.21, 116.9)",-20.16,29,56,3.04
256,Bowdon,"(33.5, -85.31)",35.42,57,1,14.99
257,Williamstown,"(42.75, -73.26)",29.14,74,90,23.04
258,Ambler,"(67.08, -156.7)",-43.07,0,20,2.15
259,Ushshoky,"(46.7, 60.65)",17.82,87,20,9.08
260,Laguna Yema,"(-24.78, -61.5)",84.02,55,48,14.12
261,El Bauga,"(19.2, 34.42)",74.52,45,0,10.76
262,Olekminsk,"(60.13, 121.68)",1.04,58,64,4.61
263,Wabag,"(-5.7, 143.48)",61.16,70,36,3.38
264,Alofi,"(-19.11, -170.45)",77.0,94,68,2.24
265,Fort MacKay,"(56.84, -112.81)",-7.65,74,76,4.94
266,Omaheke,"(-21.85, 19.86)",88.34,23,0,8.52
267,Dinopi,"(1.01, 120.65)",83.07,100,36,8.97
268,Rochedo,"(-20.21, -55.14)",69.8,83,0,5.82
269,Rechnaya Matuga,"(60.46, 159.41)",21.56,100,92,18.48
270,Bannovka,"(53.78, 62.85)",8.42,80,80,4.05
271,Debao Chengguanzhen,"(23.55, 106.43)",58.77,96,92,4.05
272,Kijang,"(1.74, 104.96)",82.71,100,68,14.45
273,Flin Flon,"(54.99, -102.03)",-0.63,65,88,6.51
274,Gobolka Galguduud,"(4.6, 47.12)",87.44,42,0,13.0
275,Qasigiannguit,"(68.71, -49.03)",-14.53,59,0,7.18
276,Wainwright,"(70.62, -162.34)",-20.83,93,12,13.11
277,Angaur State,"(6.13, 133.86)",82.26,100,80,20.71
278,Knik River,"(61.34, -148.67)",9.21,91,90,4.7
279,Attock City,"(33.69, 72.22)",48.56,86,92,4.72
280,Fort Chipewyan,"(58.94, -109.95)",-13.01,75,90,11.41
281,Navonda,"(-14.95, 168.12)",83.07,100,92,3.04
282,Nirji,"(49.33, 123.62)",5.85,55,0,2.15
283,El Progreso,"(-0.05, -89.21)",75.69,100,0,9.19
284,Berlevåg,"(71.88, 31.17)",34.47,100,80,34.69
285,Daru,"(-8.78, 143.25)",82.08,95,0,6.73
286,Vels,"(61.34, 58.51)",-5.53,67,56,2.48
287,Magistralnyy,"(55.78, 107.1)",15.94,71,68,3.94
288,Skwentna,"(62.51, -153.69)",-25.97,71,1,1.92
289,La Libertad,"(30.01, -113.6)",63.64,99,80,9.53
290,Préfecture du Haut-Mbomou,"(6.65, 25.41)",80.87,50,0,14.45
291,La Loche,"(56.25, -109.15)",-0.72,75,80,5.17
292,Taipa,"(-34.1, 173.76)",71.82,100,24,4.16
293,Maksatikha,"(57.82, 35.53)",12.15,86,88,4.5
294,Ehen Hudag,"(40.29, 102.07)",26.2,59,0,3.71
295,Kukatpalli,"(17.51, 78.39)",83.34,37,0,3.36
296,Tambawel,"(12.28, 4.76)",75.02,26,0,9.64
297,Shakawe,"(-18.02, 21.87)",85.64,54,48,8.75
298,Irbeyskoye,"(55.52, 95.53)",22.86,83,68,12.66
299,Torba Province,"(-13.4, 167.77)",82.62,100,0,5.61
300,Sur,"(23.57, 59.74)",76.37,100,0,4.38
301,Isafjoerdur,"(66.16, -21.5)",26.37,100,8,25.52
302,Lagoa Salgada,"(-6.13, -35.54)",76.1,83,40,8.05
303,Rose Prairie,"(57.09, -120.97)",-1.67,75,68,2.71
304,Ahal Welaýaty,"(38.27, 59.91)",45.72,96,92,20.49
305,Santa Ana,"(-1.29, -80.23)",77.0,88,75,5.82
306,Yemetsk,"(63.3, 41.47)",15.21,87,80,3.49
307,Bokovskaya,"(49.42, 41.91)",15.57,91,56,5.06
308,Khodzha-Maston,"(38.9, 68.68)",19.17,82,88,0.69
309,Lolo,"(46.76, -114.24)",24.08,83,90,4.7
310,Urzhumskoye Lesnichestvo,"(56.14, 47.51)",14.0,92,75,15.66
311,Agaete,"(28.27, -15.93)",62.6,63,20,9.17
312,Karnālī Zone,"(29.74, 82.05)",11.61,75,12,1.7
313,Garland County,"(34.61, -93.15)",29.25,84,1,4.16
314,State of Western Australia,"(-24.76, 121.78)",107.87,8,0,12.1
315,Lac Le Jeune,"(50.5, -120.35)",23.09,91,32,3.71
316,Palasa,"(18.54, 84.63)",75.33,89,0,9.08
317,Enunawira,"(3.92, 125.84)",80.37,100,92,14.12
318,Région du Salamat,"(11.32, 21.34)",82.76,25,0,12.1
319,Mangistauskaya Oblast’,"(43.58, 55.47)",28.81,99,92,8.19
320,Almaty Qalasy,"(42.89, 76.9)",31.8,40,20,6.71
321,Villa Ahumada,"(30.37, -107.03)",44.46,63,88,2.48
322,Vanavara,"(59.8, 102.45)",16.47,74,68,8.08
323,British Virgin Islands,"(19.05, -63.88)",77.76,100,48,11.65
324,Sakhalinskaya Oblast’,"(50.03, 143.73)",8.2,100,44,15.68
325,Central Aguirre,"(17.69, -66.28)",77.09,100,48,13.0
326,Krasnoslobodsk,"(54.35, 43.42)",17.65,88,76,6.06
327,Fengyi,"(31.49, 103.99)",32.85,94,76,1.59
328,Shumanay Shahri,"(42.51, 58.46)",35.82,91,36,12.1
329,Cajuri,"(-20.79, -42.82)",66.33,92,80,3.04
330,Burutu,"(5.0, 5.04)",83.44,100,20,8.52
331,Guilvinec,"(47.77, -4.41)",38.37,74,0,3.36
332,Miranda,"(-20.2, -57.17)",76.69,77,76,4.38
333,Porto Ercole,"(42.0, 11.26)",48.74,100,0,25.3
334,Cape Dorset,"(65.06, -76.77)",-28.08,0,20,9.53
335,Cheching (historical),"(60.43, -163.55)",-14.98,81,1,18.34
336,Rodolfo Fernandes,"(-5.84, -38.2)",69.71,95,80,2.71
337,Arasji,"(12.91, -70.59)",78.31,98,0,12.77
338,Esso,"(55.69, 157.86)",-4.05,79,36,2.04
339,Luanda Province,"(-9.72, 12.75)",79.83,100,24,7.18
340,Ahipara,"(-35.27, 172.79)",70.11,99,24,4.94
341,Keetmanshoop,"(-26.23, 18.31)",77.0,25,0,8.05
342,Caletones,"(-34.39, -70.0)",33.75,86,0,1.48
343,Okondja,"(-0.65, 14.05)",77.31,87,80,2.93
344,Federative Republic of Brazil,"(-10.63, -54.46)",68.5,98,80,2.37
345,Riachao das Neves,"(-11.67, -45.5)",69.44,66,80,2.71
346,Provinsi Papua Barat,"(-1.5, 132.45)",82.35,76,92,1.92
347,Pazarcik,"(37.45, 37.12)",39.2,60,40,4.7
348,Narsarsuaq,"(62.06, -44.89)",2.25,67,88,2.93
349,Yanga,"(-4.93, 13.62)",79.75,86,8,3.15
350,Bojnurd,"(37.44, 57.69)",35.6,80,90,13.87
351,Mamadysh,"(55.84, 51.68)",6.8,77,40,20.13
352,Al Jaghbub,"(29.6, 24.62)",60.66,35,0,8.41
353,Yexu,"(32.34, 119.89)",44.24,82,44,3.94
354,Shaanxi,"(35.83, 109.26)",32.5,48,80,4.05
355,Bas-Saint-Laurent,"(47.75, -68.16)",24.08,74,90,20.8
356,Alto Parnaíba,"(-8.93, -45.52)",72.81,80,80,2.71
357,Agua Branca,"(-5.82, -42.32)",69.85,97,92,7.18
358,Coober Pedy,"(-28.69, 133.43)",97.16,16,0,7.96
359,Ashchysay,"(43.42, 69.22)",42.49,86,0,14.56
360,Kromhof,"(-27.6, 29.57)",75.79,61,0,14.45
361,Sergeyevka,"(54.06, 67.56)",7.02,86,76,4.61
362,Minggang,"(32.59, 114.26)",36.9,99,92,3.15
363,Ennadai,"(61.51, -100.35)",-31.09,0,8,3.04
364,Departamento de Rocha,"(-34.01, -53.96)",67.32,96,92,9.42
365,Nelson Lagoon,"(55.87, -162.19)",32.0,92,75,16.11
366,Mezhdurechensk,"(54.04, 88.05)",15.89,79,80,6.73
367,Padampur,"(20.95, 83.01)",73.26,70,0,4.05
368,Arroyos y Esteros,"(-24.96, -57.23)",77.0,88,0,4.7
369,Toamasina,"(-18.41, 48.97)",86.0,74,40,9.17
370,Ambositra,"(-20.93, 47.14)",79.07,85,48,3.15
371,Kingsland,"(30.8, -81.79)",42.1,60,1,6.93
372,Sechura,"(-6.04, -81.62)",72.36,98,76,6.17
373,Marjah,"(31.37, 64.09)",62.82,75,0,5.06
374,Boddam,"(56.98, 0.07)",47.61,96,68,21.05
375,Zhuanshantun,"(38.37, 122.07)",40.37,100,0,18.25
376,Hasvik,"(71.65, 21.26)",41.27,100,92,45.43
377,La Muerte,"(8.83, -75.36)",75.29,94,88,7.07
378,Chajari,"(-30.87, -58.19)",68.0,94,75,9.17
379,Nautla,"(20.86, -95.86)",73.71,100,64,10.98
380,Freixeda do Torrão,"(40.89, -7.02)",29.07,79,0,7.4
381,Muḩāfaz̧at Maţrūḩ,"(30.11, 27.83)",55.98,47,0,4.38
382,Wujia,"(41.44, 122.08)",26.96,33,0,3.6
383,Yatou,"(37.14, 123.18)",40.01,100,0,14.45
384,Kangaroo Island,"(-36.69, 136.4)",62.96,100,0,15.12
385,Skoghall,"(59.15, 13.63)",23.0,92,0,3.36
386,Melonguanne,"(5.09, 126.93)",79.16,100,64,1.7
387,El Alto,"(-3.92, -82.27)",72.81,98,32,9.08
388,River Nile State,"(20.28, 32.81)",67.6,40,12,7.18
389,Yertsevo,"(60.84, 39.62)",19.45,89,80,8.08
390,El Quisco,"(-33.54, -73.24)",59.68,100,0,17.81
391,Rampur,"(31.35, 77.47)",48.25,51,76,1.14
392,Kustova,"(53.88, 101.65)",9.77,72,8,2.48
393,Tandil,"(-37.45, -58.95)",55.35,83,80,9.75
394,Muḩāfaz̧at Baghdād,"(33.17, 44.31)",51.8,50,0,8.05
395,Sayn-Ust,"(47.3, 94.99)",1.35,77,0,3.04
396,Sultanate of Oman,"(21.2, 57.31)",82.22,60,0,4.72
397,Manokotak,"(58.89, -159.53)",8.73,86,1,5.82
398,Arvidsjaurs Kommun,"(65.96, 19.91)",27.43,86,75,6.93
399,Pangkalanbuun,"(-2.53, 111.59)",83.07,85,76,4.05
400,Khatanga,"(73.18, 101.67)",-27.36,42,48,10.65
401,Buon Ma Thuot,"(12.81, 107.77)",78.94,68,8,13.78
402,Wha Ti,"(63.47, -118.0)",-37.8,0,8,5.73
403,Anzah,"(32.37, 35.23)",59.0,47,20,5.82
404,Alexandria,"(-33.85, 26.15)",78.8,57,40,19.46
405,Hulha Negra,"(-31.47, -53.76)",64.76,98,92,8.19
406,Teller,"(65.31, -166.17)",-0.94,50,1,4.7
407,Ketapang Kecil,"(-2.0, 110.44)",82.35,84,64,2.59
408,Lisino-Korpus,"(59.27, 30.73)",23.0,92,90,2.24
409,Phelps County,"(37.95, -91.92)",23.95,67,1,4.7
410,Taveta,"(-3.31, 37.65)",84.2,48,75,12.75
411,Les Îles-de-la-Madeleine,"(48.02, -60.87)",36.55,85,24,23.73
